"","TAIR_ID","Entrez_ID","Name","CommonName","logFC","FDR"
"AT4G23720","AT4G23720",828472,"AT4G23720","transmembrane",-1.12664160683685,0.0301710701925561
"AT2G34830","AT2G34830",818048,"WRKY35","WRKY",-1.1076452855743,0.0301710701925561
"AT2G25260","AT2G25260",817064,"AT2G25260","Hyp",-1.53803690248923,0.0301710701925561
"AT3G12685","AT3G12685",820449,"AT3G12685","Acid",1.0658407106964,0.030531329415685
"AT1G23060","AT1G23060",838914,"MDP40","uncharacterized",1.18331621221715,0.0305727289561492
"AT1G55480","AT1G55480",841995,"ZKT","protein",1.19216890101358,0.0305727289561492
"AT3G23635","AT3G23635",5008024,"RTFL13",NA,-1.10024290647861,0.030594584119762
"AT1G65310","AT1G65310",842839,"XTH17","xyloglucan",1.10997592273347,0.030594584119762
"AT4G17245","AT4G17245",827437,"AT4G17245","RING/U-box",1.5743686977352,0.030594584119762
"AT5G41900","AT5G41900",834195,"AT5G41900","alpha/beta-Hydrolases",1.83745007403052,0.030594584119762
"AT1G12570","AT1G12570",837814,"AT1G12570","Glucose-methanol-choline",2.0856847353853,0.0305950058280106
"AT2G36800","AT2G36800",818252,"DOGT1","don-glucosyltransferase",1.52157487492931,0.0305950058280106
"AT1G03630","AT1G03630",839009,"POR","protochlorophyllide",1.09916448307765,0.03071210992999
"AT2G34810","AT2G34810",818046,"AT2G34810","FAD-binding",1.15560099793154,0.0309430675199779
"AT4G17600","AT4G17600",827479,"LIL3:1","Chlorophyll",1.00229077158766,0.0309430675199779
"AT4G08870","AT4G08870",826458,"ARGAH2","Arginase/deacetylase",2.15937464157298,0.0309430675199779
"AT2G10940","AT2G10940",815558,"AT2G10940","Bifunctional",1.40496050596572,0.0309430675199779
"AT1G03710","AT1G03710",839427,"AT1G03710","Cystatin/monellin",-1.07330762812694,0.0309430675199779
"AT3G16670","AT3G16670",820919,"AT3G16670","Pollen",5.63197345348074,0.0309760035711907
"AT1G55370","AT1G55370",841984,"NDF5","NDH-dependent",1.08573619084955,0.0310092571430654
"AT3G46670","AT3G46670",823820,"UGT76E11","UDP-glucosyl",1.4646886641103,0.0310536824963257
"AT4G24510","AT4G24510",828553,"CER2","HXXXD-type",1.10917075233555,0.0310536824963257
"AT2G18180","AT2G18180",816331,"AT2G18180","Sec14p-like",-1.42182763552954,0.0310536824963257
"AT4G01950","AT4G01950",827165,"GPAT3","glycerol-3-phosphate",1.2778439723727,0.0310536824963257
"AT5G57560","AT5G57560",835860,"TCH4","Xyloglucan",1.44545833540883,0.0310536824963257
"AT5G14740","AT5G14740",831326,"CA2","carbonic",3.704081996932,0.0313396003201278
"ATCG01130","ATCG01130",NA,NA,NA,2.0824791352476,0.031576765461592
"AT3G04000","AT3G04000",819555,"AT3G04000","NAD(P)-binding",2.11590050945265,0.0317503869086314
"AT4G14400","AT4G14400",827085,"ACD6","ankyrin",1.74414925102939,0.031812597730654
"AT5G51720","AT5G51720",835246,"NEET","2",2.22650889198875,0.031812597730654
"AT2G03310","AT2G03310",814860,"AT2G03310","uncharacterized",1.05549684051384,0.031812597730654
"AT1G01600","AT1G01600",839347,"CYP86A4","cytochrome",1.95047807217628,0.0318876388487248
"AT1G42970","AT1G42970",840895,"GAPB","glyceraldehyde-3-phosphate",1.00570957127311,0.0318876388487248
"AT1G11850","AT1G11850",837732,"AT1G11850","uncharacterized",2.24649252010573,0.0319431316470708
"AT5G42690","AT5G42690",834278,"AT5G42690","transcription",1.26931434318587,0.0321212269622082
"AT5G52120","AT5G52120",835288,"PP2-A14","phloem",1.3757112860974,0.0323083919317832
"AT1G22370","AT1G22370",838844,"UGT85A5","UDP-glucosyl",1.10311464953723,0.0323083919317832
"AT3G50270","AT3G50270",824189,"AT3G50270","HXXXD-type",1.38466546105542,0.0323187780177594
"AT5G50260","AT5G50260",835091,"CEP1","Cysteine",-1.21756949190101,0.0324233926509746
"AT5G59320","AT5G59320",836051,"LTP3","lipid",-1.26435500433874,0.0325614891446897
"AT5G21950","AT5G21950",832255,"AT5G21950","alpha/beta-Hydrolases",-1.16750292488299,0.0325614891446897
"AT5G25880","AT5G25880",832657,"NADP-ME3","NADP-malic",1.67312423521385,0.032666160333435
"AT2G23130","AT2G23130",816845,"AGP17","arabinogalactan",1.29491475670789,0.0326724409467689
"AT2G25220","AT2G25220",817060,"AT2G25220","Protein",1.0042777275412,0.0326812675803011
"AT4G04450","AT4G04450",825775,"WRKY42","WRKY",1.53643891111152,0.0327925487787614
"AT2G28210","AT2G28210",817367,"ACA2","alpha",3.28460233722653,0.0328158512687766
"AT1G65060","AT1G65060",842814,"4CL3","4-coumarate:CoA",1.41434911802548,0.0329733744344885
"AT1G04920","AT1G04920",839382,"SPS3F","sucrose",1.17269383250066,0.0331201806294424
"AT5G23000","AT5G23000",832364,"MYB37","myb",-1.50789460359419,0.0332563881280126
"AT1G70760","AT1G70760",843413,"NdhL","inorganic",1.97267949214688,0.0332987470780473
"AT1G31690","AT1G31690",840056,"AT1G31690","Copper",2.86813121749464,0.0333690896010304
"AT2G46070","AT2G46070",819215,"MPK12","mitogen-activated",1.16833445598338,0.0334390250235424
"AT3G56240","AT3G56240",824790,"CCH","copper",-1.01504813549632,0.0334390250235424
"AT2G23010","AT2G23010",816832,"SCPL9","serine",1.42344949483953,0.0335163794163813
"AT4G38420","AT4G38420",829999,"sks9","SKU5",2.80101675033677,0.0335656433971142
"AT1G21910","AT1G21910",838793,"DREB26","Integrase-type",1.18055573059477,0.0339433275805321
"AT5G61090","AT5G61090",836230,"AT5G61090","Polynucleotidyl",-1.03788166381839,0.0339631444236062
"AT1G76240","AT1G76240",843957,"AT1G76240","DUF241",1.89384465740555,0.0339631444236062
"AT5G13930","AT5G13930",831241,"TT4","Chalcone",1.06132317038096,0.0339631444236062
"AT1G74880","AT1G74880",843827,"NdhO","NAD(P)H:plastoquinone",1.05493466584001,0.0339631444236062
"AT2G39690","AT2G39690",818552,"AT2G39690","ternary",3.04386664019912,0.0341799518955803
"AT2G42380","AT2G42380",818839,"BZIP34","Basic-leucine",1.16966617981273,0.0342552423598394
"AT3G05890","AT3G05890",819758,"RCI2B","Low",1.87614407005754,0.0342552423598394
"AT3G14760","AT3G14760",820704,"AT3G14760","uncharacterized",1.95913597527096,0.034348029197832
"AT5G52340","AT5G52340",835310,"EXO70A2","exocyst",2.10735456372507,0.034348029197832
"AT4G32950","AT4G32950",829432,"AT4G32950","Protein",-1.00239408413476,0.034348029197832
"AT4G31640","AT4G31640",829292,"AT4G31640","transcriptional",-1.079870080443,0.0343872518111483
"AT3G45160","AT3G45160",823652,"AT3G45160","Putative",-1.12895447738758,0.0345802248225713
"AT2G04032","AT2G04032",814931,"ZIP7","zinc",3.58016070520899,0.0346612219614205
"AT2G19310","AT2G19310",816448,"AT2G19310","HSP20-like",1.05393250220403,0.0346612219614205
"AT5G37940","AT5G37940",833773,"AT5G37940","Zinc-binding",1.81265413549357,0.0348172170206399
"AT5G52320","AT5G52320",835308,"CYP96A4","cytochrome",1.20438204409854,0.0349665554125445
"ATCG00790","ATCG00790",NA,NA,NA,1.07988724384658,0.0350215262838271
"AT1G64680","AT1G64680",842776,"AT1G64680","beta-carotene",1.00354685015343,0.0351170933318372
"AT1G49200","AT1G49200",841343,"AT1G49200","RING/U-box",-1.03090813946489,0.0353181272758247
"AT1G69880","AT1G69880",843324,"TH8","thioredoxin",-1.57631855983825,0.0353181272758247
"AT1G07720","AT1G07720",837286,"KCS3","3-ketoacyl-CoA",1.19082618447905,0.0353181272758247
"AT1G22630","AT1G22630",838869,"AT1G22630","SSUH2-like",1.26561059854318,0.035547413940039
"AT3G15030","AT3G15030",820732,"TCP4","TCP",1.24779146069392,0.0356444235731703
"AT5G38420","AT5G38420",833829,"RBCS2B","Ribulose",2.37422849185127,0.035685839260368
"AT5G59130","AT5G59130",836031,"AT5G59130","Subtilase",1.69925157837562,0.0358821946178549
"AT1G32080","AT1G32080",840100,"LrgB","uncharacterized",2.00928577188253,0.0359540689705122
"AT3G50800","AT3G50800",824244,"AT3G50800","uncharacterized",1.70824231984953,0.0360071376089143
"AT1G14120","AT1G14120",837971,"AT1G14120","2-oxoglutarate",1.8055027194072,0.036263644135157
"AT4G33666","AT4G33666",829508,"AT4G33666","uncharacterized",2.27399759320196,0.0362932911921541
"AT1G33930","AT1G33930",840290,"AT1G33930","P-loop",1.52065390860622,0.0363486185537484
"AT4G36570","AT4G36570",829809,"RL3","RAD-like",-1.15546962401327,0.036480368964289
"AT4G31730","AT4G31730",829301,"GDU1","glutamine",-1.20622183433314,0.0366859106451409
"AT2G16380","AT2G16380",816135,"AT2G16380","Sec14p-like",1.05898176461129,0.0366859106451409
"AT1G64770","AT1G64770",842785,"PnsB2","NDH-dependent",1.21381983516772,0.0366859106451409
"AT5G52310","AT5G52310",835307,"LTI78","low-temperature-responsive",1.6226976217378,0.0367528223084499
"AT1G74660","AT1G74660",843805,"MIF1","mini",-1.1844595918174,0.0368045315746751
"AT5G37840","AT5G37840",833762,"AT5G37840","plastid",-1.31715716877082,0.0368045315746751
"AT4G39480","AT4G39480",830103,"CYP96A9","cytochrome",-1.53882542884664,0.0369228311002092
"AT1G19940","AT1G19940",838583,"GH9B5","glycosyl",1.75057975872153,0.037191575866718
"AT4G30230","AT4G30230",829146,"AT4G30230","uncharacterized",1.04945611328672,0.0372688988316638
"AT3G23840","AT3G23840",821967,"AT3G23840","HXXXD-type",2.15903093781839,0.0374448513666956
"AT5G23810","AT5G23810",832446,"AAP7","amino",-1.01767394127235,0.0374448513666956
"AT2G38790","AT2G38790",818461,"AT2G38790","uncharacterized",1.69087845211796,0.0375115607221624
"AT5G65040","AT5G65040",836628,"AT5G65040","senescence-associated",-1.14373556610957,0.0375757483861809
"AT4G18170","AT4G18170",827542,"WRKY28","WRKY",-1.23281226180352,0.0376762262521119
"AT2G31220","AT2G31220",817679,"AT2G31220","basic",-1.05682784720992,0.0377542659387613
"AT1G74810","AT1G74810",843820,"BOR5","HCO3-",3.53310788557752,0.0379119461322702
"AT5G36960","AT5G36960",833666,"AT5G36960","uncharacterized",-1.15094891618138,0.0379654120076466
"AT3G05152","AT3G05152",5007985,"AT3G05152","ncRNA(AT3G05152)",-1.7688661233886,0.0379654120076466
"AT1G62630","AT1G62630",842560,"AT1G62630","Disease",2.4506246214196,0.0385055678339635
"AT1G62760","AT1G62760",842574,"AT1G62760","Plant",3.14735693295449,0.0387334090413531
"AT2G29090","AT2G29090",817457,"CYP707A2","cytochrome",3.41305427458342,0.0388102112207733
"AT3G01550","AT3G01550",821114,"PPT2","phosphoenolpyruvate",1.18350186961058,0.0388306914970197
"AT1G09340","AT1G09340",837455,"CRB","chloroplast",1.11539153917863,0.0391415763775773
"AT2G29290","AT2G29290",817478,"AT2G29290","NAD(P)-binding",3.68694728998589,0.0391577576863781
"AT3G62930","AT3G62930",825468,"AT3G62930","Thioredoxin",-1.22361467643469,0.0393022101543105
"AT1G19150","AT1G19150",838498,"Lhca6","PSI",1.50566717239928,0.0393022101543105
"AT5G62140","AT5G62140",836334,"AT5G62140","ATP-dependent",1.75407938593842,0.0393363588088946
"AT3G19184","AT3G19184",3768753,"AT3G19184","AP2/B3-like",-1.22795542213132,0.0393363588088946
"AT5G26010","AT5G26010",832670,"AT5G26010","Protein",1.15900687819324,0.0394735082417574
"AT1G09170","AT1G09170",837437,"AT1G09170","P-loop",2.17158010173407,0.0396942834691953
"AT2G22510","AT2G22510",816784,"AT2G22510","hydroxyproline-rich",1.51055788385203,0.0398492816739873
"AT2G26695","AT2G26695",2745562,"AT2G26695","Ran",-1.18452511450436,0.0400809364533398
"AT1G70820","AT1G70820",843419,"AT1G70820","phosphoglucomutase,",1.4427640996333,0.0400809364533398
"AT1G76420","AT1G76420",843975,"CUC3","NAC",-1.0619447820949,0.0401804473760143
"AT4G39780","AT4G39780",830136,"AT4G39780","Integrase-type",-1.05616593201391,0.0408036154159733
"AT3G23410","AT3G23410",821922,"FAO3","fatty",1.10322218903268,0.041457491836091
"AT4G11280","AT4G11280",826730,"ACS6","1-aminocyclopropane-1-carboxylic",1.41656887938809,0.0415513610948623
"AT3G28570","AT3G28570",822487,"AT3G28570","P-loop",-1.53260907847889,0.0415513610948623
"AT3G49260","AT3G49260",824087,"iqd21","IQ-domain",1.19435275877828,0.0415513610948623
"AT1G33811","AT1G33811",840274,"AT1G33811","GDSL-like",2.90596521231037,0.041975335210512
"AT5G06530","AT5G06530",830541,"ABCG22","ABC-2",1.49550260608523,0.0420245244245127
"AT1G13650","AT1G13650",837926,"AT1G13650","uncharacterized",2.77294852940788,0.0420351613660925
"AT2G31160","AT2G31160",817672,"LSH3","LIGHT-DEPENDENT",-1.07643173998105,0.0420351613660925
"AT3G16690","AT3G16690",820921,"SWEET16","Nodulin",1.23859975635923,0.0421417175661727
"AT2G37100","AT2G37100",818286,"AT2G37100","protamine",1.23079080116263,0.0422512043025049
"AT2G23060","AT2G23060",816836,"AT2G23060","Acyl-CoA",-1.68651470755713,0.0425757804853384
"AT3G62950","AT3G62950",825470,"AT3G62950","Thioredoxin",-1.04535311155059,0.0428882349841217
"AT4G23300","AT4G23300",828429,"CRK22","cysteine-rich",1.34906835837728,0.0429301629892248
"AT1G47760","AT1G47760",841187,"AGL102","AGAMOUS-like",1.28758675065569,0.0431080286782617
"AT4G15690","AT4G15690",827246,"AT4G15690","Thioredoxin",-1.19159297126533,0.0433134820686268
"AT3G19270","AT3G19270",821461,"CYP707A4","cytochrome",-1.52739691395322,0.0433941397683545
"AT1G78230","AT1G78230",844159,"AT1G78230","Outer",2.09691420424611,0.0436517877826152
"AT5G42250","AT5G42250",834230,"AT5G42250","Zinc-binding",1.37694546277226,0.043677606090042
"AT1G62660","AT1G62660",842563,"AT1G62660","Glycosyl",1.1167857314799,0.043677606090042
"AT5G54400","AT5G54400",835528,"AT5G54400","S-adenosyl-L-methionine-dependent",-1.03298192151108,0.0439136865836457
"AT3G45070","AT3G45070",823642,"AT3G45070","P-loop",-1.05899638083286,0.0440895084553933
"AT1G58340","AT1G58340",842203,"ZF14","MATE",-1.09246921484625,0.0441363413751917
"AT4G16880","AT4G16880",827396,"AT4G16880","Leucine-rich",2.14470359334005,0.0444194405766861
"AT3G01060","AT3G01060",821278,"AT3G01060","lysine-tRNA",1.30751137607348,0.0445520378149513
"AT5G44020","AT5G44020",834425,"AT5G44020","HAD",1.00854942824072,0.0445888640465683
"AT1G17960","AT1G17960",838375,"AT1G17960","Threonyl-tRNA",-1.1602644985861,0.0445889449311104
"AT4G17810","AT4G17810",827503,"AT4G17810","C2H2",2.18252654988519,0.0446790408225078
"AT5G50950","AT5G50950",835168,"FUM2","FUMARASE",1.68022080326567,0.0446790408225078
"AT1G69523","AT1G69523",843286,"AT1G69523","S-adenosyl-L-methionine-dependent",2.24861814618444,0.0448128039705439
"AT4G25470","AT4G25470",828651,"CBF2","C-repeat/DRE",2.63663274402948,0.0448996028163063
"AT3G55630","AT3G55630",824729,"DFD","DHFS-FPGS",1.30327004113298,0.0449673030777473
"AT3G14770","AT3G14770",820705,"SWEET2","Nodulin",1.28805289345099,0.0449673030777473
"AT3G56710","AT3G56710",824838,"SIB1","sigma",1.08575463035803,0.0450466904950645
"AT1G76080","AT1G76080",843940,"CDSP32","chloroplastic",1.23123027049482,0.0450466904950645
"AT1G43800","AT1G43800",840977,"FTM1","Plant",-1.85825499613065,0.0450774162966475
"AT1G01640","AT1G01640",839534,"AT1G01640","BTB/POZ",-1.15514990300671,0.0450774162966475
"AT1G22590","AT1G22590",838865,"AGL87","AGAMOUS-like",1.58943514688477,0.0452511168945078
"AT1G16530","AT1G16530",838223,"ASL9","ASYMMETRIC",-1.01173356434108,0.0453830576747641
"AT3G22235","AT3G22235",821791,"AT3G22235","cysteine-rich",2.26137344844971,0.0461919045261014
"AT5G20630","AT5G20630",832185,"GER3","germin",2.02923206627651,0.0462231603920891
"AT1G63750","AT1G63750",842679,"AT1G63750","Disease",1.23099749594307,0.0462231603920891
"AT2G01918","AT2G01918",3768499,"PQL3","PsbQ-like",1.49743774683096,0.0462231603920891
"AT3G45095.1","AT3G45095.1",NA,NA,NA,-1.08855915419871,0.0464945467861529
"AT5G48430","AT5G48430",834898,"AT5G48430","Eukaryotic",-2.31477511528669,0.046581443902329
"AT2G41340","AT2G41340",818732,"RPB5D","RNA",1.36454134681628,0.0466107829017815
"AT5G38430","AT5G38430",833830,"RBCS1B","Ribulose",2.38930268626396,0.046846236478542
"AT4G12890","AT4G12890",826901,"AT4G12890","Gamma",-1.3753501439768,0.0473485355851416
"AT1G68360","AT1G68360",843165,"AT1G68360","C2H2",-1.04314408350147,0.0475051420673077
"AT1G75460","AT1G75460",843882,"AT1G75460","ATP-dependent",1.20139716484293,0.047882385559681
"AT4G26530","AT4G26530",828759,"FBA5","Aldolase",3.2979738783079,0.0479234350627995
"AT5G49730","AT5G49730",835036,"FRO6","ferric",3.07482328562684,0.0484444941545876
"AT3G47295","AT3G47295",823883,"AT3G47295","uncharacterized",1.91999361032539,0.0489539953251118
"AT5G54250","AT5G54250",835513,"CNGC4","cyclic",1.2334031194241,0.0492729287365275
"AT1G01070","AT1G01070",839550,"UMAMIT28","nodulin",-1.23287994699204,0.049495720592985
